name,name_in_kegg,map_id,classes,main_class
TRYPTOPHAN_METABOLISM,Tryptophan metabolism,path:map00380,Metabolism; Amino acid metabolism,Metabolism
BETA_ALANINE_METABOLISM,beta-Alanine metabolism,path:map00410,Metabolism; Metabolism of other amino acids,Metabolism
PROPANOATE_METABOLISM,Propanoate metabolism,path:map00640,Metabolism; Carbohydrate metabolism,Metabolism
NECROPTOSIS,Necroptosis,path:map04217,Cellular Processes; Cell growth and death,Cellular Processes
TERPENOID_BACKBONE_BIOSYNTHESIS,Terpenoid backbone biosynthesis,path:map00900,Metabolism; Metabolism of terpenoids and polyketides,Metabolism
TYROSINE_METABOLISM,Tyrosine metabolism,path:map00350,Metabolism; Amino acid metabolism,Metabolism
RNA_POLYMERASE,RNA polymerase,path:map03020,Genetic Information Processing; Transcription,Genetic Information Processing
MISMATCH_REPAIR,Mismatch repair,path:map03430,Genetic Information Processing; Replication and repair,Genetic Information Processing
GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,Glyoxylate and dicarboxylate metabolism,path:map00630,Metabolism; Carbohydrate metabolism,Metabolism
PENTOSE_PHOSPHATE_PATHWAY,Pentose phosphate pathway,path:map00030,Metabolism; Carbohydrate metabolism,Metabolism
ARGININE_AND_PROLINE_METABOLISM,Arginine and proline metabolism,path:map00330,Metabolism; Amino acid metabolism,Metabolism
ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,"Alanine, aspartate and glutamate metabolism",path:map00250,Metabolism; Amino acid metabolism,Metabolism
FRUCTOSE_AND_MANNOSE_METABOLISM,Fructose and mannose metabolism,path:map00051,Metabolism; Carbohydrate metabolism,Metabolism
GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,path:map00563,Metabolism; Glycan biosynthesis and metabolism,Metabolism
ONE_CARBON_POOL_BY_FOLATE,One carbon pool by folate,path:map00670,Metabolism; Metabolism of cofactors and vitamins,Metabolism
PRIMARY_BILE_ACID_BIOSYNTHESIS,Primary bile acid biosynthesis,path:map00120,Metabolism; Lipid metabolism,Metabolism
STEROID_BIOSYNTHESIS,Steroid biosynthesis,path:map00100,Metabolism; Lipid metabolism,Metabolism
PYRIMIDINE_METABOLISM,Pyrimidine metabolism,path:map00240,Metabolism; Nucleotide metabolism,Metabolism
PURINE_METABOLISM,Purine metabolism,path:map00230,Metabolism; Nucleotide metabolism,Metabolism
GLUTATHIONE_METABOLISM,Glutathione metabolism,path:map00480,Metabolism; Metabolism of other amino acids,Metabolism
PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Porphyrin and chlorophyll metabolism,path:map00860,Metabolism; Metabolism of cofactors and vitamins,Metabolism
CHAGAS_DISEASE_AMERICAN_TRYPANOSOMIASIS,Chagas disease (American trypanosomiasis),path:map05142,Human Diseases; Infectious diseases: Parasitic,Human Diseases
PHOTOTRANSDUCTION,Phototransduction,path:map04744,Organismal Systems; Sensory system,Organismal Systems
SALMONELLA_INFECTION,Salmonella infection,path:map05132,Human Diseases; Infectious diseases: Bacterial,Human Diseases
LEGIONELLOSIS,Legionellosis,path:map05134,Human Diseases; Infectious diseases: Bacterial,Human Diseases
CARDIAC_MUSCLE_CONTRACTION,Cardiac muscle contraction,path:map04260,Organismal Systems; Circulatory system,Organismal Systems
ARACHIDONIC_ACID_METABOLISM,Arachidonic acid metabolism,path:map00590,Metabolism; Lipid metabolism,Metabolism
PERTUSSIS,Pertussis,path:map05133,Human Diseases; Infectious diseases: Bacterial,Human Diseases
PRIMARY_IMMUNODEFICIENCY,Primary immunodeficiency,path:map05340,Human Diseases; Immune diseases,Human Diseases
GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,Glycosphingolipid biosynthesis - ganglio series,path:map00604,Metabolism; Glycan biosynthesis and metabolism,Metabolism
AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,Amyotrophic lateral sclerosis (ALS),path:map05014,Human Diseases; Neurodegenerative diseases,Human Diseases
OVARIAN_STEROIDOGENESIS,Ovarian steroidogenesis,path:map04913,Organismal Systems; Endocrine system,Organismal Systems
PRION_DISEASES,Prion diseases,path:map05020,Human Diseases; Neurodegenerative diseases,Human Diseases
MANNOSE_TYPE_O_GLYCAN_BIOSYNTHESIS,Mannose type O-glycan biosynthesis,path:map00515,Metabolism; Glycan biosynthesis and metabolism,Metabolism
BASAL_TRANSCRIPTION_FACTORS,Basal transcription factors,path:map03022,Genetic Information Processing; Transcription,Genetic Information Processing
N_GLYCAN_BIOSYNTHESIS,N-Glycan biosynthesis,path:map00510,Metabolism; Glycan biosynthesis and metabolism,Metabolism
STARCH_AND_SUCROSE_METABOLISM,Starch and sucrose metabolism,path:map00500,Metabolism; Carbohydrate metabolism,Metabolism
PROTEIN_EXPORT,Protein export,path:map03060,"Genetic Information Processing; Folding, sorting and degradation",Genetic Information Processing
GALACTOSE_METABOLISM,Galactose metabolism,path:map00052,Metabolism; Carbohydrate metabolism,Metabolism
AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Amino sugar and nucleotide sugar metabolism,path:map00520,Metabolism; Carbohydrate metabolism,Metabolism
CYSTEINE_AND_METHIONINE_METABOLISM,Cysteine and methionine metabolism,path:map00270,Metabolism; Amino acid metabolism,Metabolism
GLYCINE_SERINE_AND_THREONINE_METABOLISM,"Glycine, serine and threonine metabolism",path:map00260,Metabolism; Amino acid metabolism,Metabolism
ARGININE_BIOSYNTHESIS,Arginine biosynthesis,path:map00220,Metabolism; Amino acid metabolism,Metabolism
HISTIDINE_METABOLISM,Histidine metabolism,path:map00340,Metabolism; Amino acid metabolism,Metabolism
PHENYLALANINE_METABOLISM,Phenylalanine metabolism,path:map00360,Metabolism; Amino acid metabolism,Metabolism
FATTY_ACID_ELONGATION,Fatty acid elongation,path:map00062,Metabolism; Lipid metabolism,Metabolism
BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Biosynthesis of unsaturated fatty acids,path:map01040,Metabolism; Lipid metabolism,Metabolism
FANCONI_ANEMIA_PATHWAY,Fanconi anemia pathway,path:map03460,Genetic Information Processing; Replication and repair,Genetic Information Processing
HOMOLOGOUS_RECOMBINATION,Homologous recombination,path:map03440,Genetic Information Processing; Replication and repair,Genetic Information Processing
BASE_EXCISION_REPAIR,Base excision repair,path:map03410,Genetic Information Processing; Replication and repair,Genetic Information Processing
MATURITY_ONSET_DIABETES_OF_THE_YOUNG,Maturity onset diabetes of the young,path:map04950,Human Diseases; Endocrine and metabolic diseases,Human Diseases
CIRCADIAN_RHYTHM,Circadian rhythm,path:map04710,Organismal Systems; Environmental adaptation,Organismal Systems
THYROID_CANCER,Thyroid cancer,path:map05216,Human Diseases; Cancers: Specific types,Human Diseases
ADIPOCYTOKINE_SIGNALING_PATHWAY,Adipocytokine signaling pathway,path:map04920,Organismal Systems; Endocrine system,Organismal Systems
MITOPHAGY_ANIMAL,Mitophagy - animal,path:map04137,Cellular Processes; Transport and catabolism,Cellular Processes
DRUG_METABOLISM_OTHER_ENZYMES,Drug metabolism - other enzymes,path:map00983,Metabolism; Xenobiotics biodegradation and metabolism,Metabolism
GLYCEROPHOSPHOLIPID_METABOLISM,Glycerophospholipid metabolism,path:map00564,Metabolism; Lipid metabolism,Metabolism
PPAR_SIGNALING_PATHWAY,PPAR signaling pathway,path:map03320,Organismal Systems; Endocrine system,Organismal Systems
LYSOSOME,Lysosome,path:map04142,Cellular Processes; Transport and catabolism,Cellular Processes
APOPTOSIS,Apoptosis,path:map04210,Cellular Processes; Cell growth and death,Cellular Processes
PANTOTHENATE_AND_COA_BIOSYNTHESIS,Pantothenate and CoA biosynthesis,path:map00770,Metabolism; Metabolism of cofactors and vitamins,Metabolism
PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,Proximal tubule bicarbonate reclamation,path:map04964,Organismal Systems; Excretory system,Organismal Systems
LINOLEIC_ACID_METABOLISM,Linoleic acid metabolism,path:map00591,Metabolism; Lipid metabolism,Metabolism
GLYCOSAMINOGLYCAN_DEGRADATION,Glycosaminoglycan degradation,path:map00531,Metabolism; Glycan biosynthesis and metabolism,Metabolism
FAT_DIGESTION_AND_ABSORPTION,Fat digestion and absorption,path:map04975,Organismal Systems; Digestive system,Organismal Systems
RENIN_ANGIOTENSIN_SYSTEM,Renin-angiotensin system,path:map04614,Organismal Systems; Endocrine system,Organismal Systems
FOLATE_BIOSYNTHESIS,Folate biosynthesis,path:map00790,Metabolism; Metabolism of cofactors and vitamins,Metabolism
SPHINGOLIPID_METABOLISM,Sphingolipid metabolism,path:map00600,Metabolism; Lipid metabolism,Metabolism
GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_AND_ISOGLOBO_SERIES,Glycosphingolipid biosynthesis - globo and isoglobo series,path:map00603,Metabolism; Glycan biosynthesis and metabolism,Metabolism
APOPTOSIS_MULTIPLE_SPECIES,Apoptosis - multiple species,path:map04215,Cellular Processes; Cell growth and death,Cellular Processes
ETHER_LIPID_METABOLISM,Ether lipid metabolism,path:map00565,Metabolism; Lipid metabolism,Metabolism
P53_SIGNALING_PATHWAY,p53 signaling pathway,path:map04115,Cellular Processes; Cell growth and death,Cellular Processes
AFRICAN_TRYPANOSOMIASIS,African trypanosomiasis,path:map05143,Human Diseases; Infectious diseases: Parasitic,Human Diseases
ALPHA_LINOLENIC_ACID_METABOLISM,alpha-Linolenic acid metabolism,path:map00592,Metabolism; Lipid metabolism,Metabolism
VITAMIN_DIGESTION_AND_ABSORPTION,Vitamin digestion and absorption,path:map04977,Organismal Systems; Digestive system,Organismal Systems
OTHER_GLYCAN_DEGRADATION,Other glycan degradation,path:map00511,Metabolism; Glycan biosynthesis and metabolism,Metabolism
MINERAL_ABSORPTION,Mineral absorption,path:map04978,Organismal Systems; Digestive system,Organismal Systems
FERROPTOSIS,Ferroptosis,path:map04216,Cellular Processes; Cell growth and death,Cellular Processes
CHOLESTEROL_METABOLISM,Cholesterol metabolism,path:map04979,Organismal Systems; Digestive system,Organismal Systems
SELENOCOMPOUND_METABOLISM,Selenocompound metabolism,path:map00450,Metabolism; Metabolism of other amino acids,Metabolism
THIAMINE_METABOLISM,Thiamine metabolism,path:map00730,Metabolism; Metabolism of cofactors and vitamins,Metabolism
NICOTINATE_AND_NICOTINAMIDE_METABOLISM,Nicotinate and nicotinamide metabolism,path:map00760,Metabolism; Metabolism of cofactors and vitamins,Metabolism
